freq_per_A,resolution_A,P6_vs_P7,P6_vs_P8,P7_vs_P8
0.00000,,1.0000,1.0000,1.0000
0.00377,265.60,0.9975,0.9747,0.9821
0.00753,132.80,0.9962,0.9615,0.9603
0.01130,88.53,0.9558,0.8444,0.8857
0.01506,66.40,0.9627,0.5427,0.6079
0.01883,53.12,0.9406,0.2953,0.2370
0.02259,44.27,0.8984,0.2816,0.0946
0.02636,37.94,0.9032,0.2992,0.1498
0.03012,33.20,0.9193,0.4581,0.3974
0.03389,29.51,0.9019,0.3439,0.2908
0.03765,26.56,0.8773,0.3414,0.2776
0.04142,24.15,0.8154,0.3369,0.2958
0.04518,22.13,0.7799,0.2300,0.2969
0.04895,20.43,0.7660,0.0715,0.0719
0.05271,18.97,0.7435,-0.0803,-0.1023
0.05648,17.71,0.7392,-0.0545,-0.0435
0.06024,16.60,0.7321,0.0620,0.0968
0.06401,15.62,0.6974,0.1588,0.1893
0.06777,14.76,0.6562,0.1493,0.1632
0.07154,13.98,0.6612,0.1153,0.1110
0.07530,13.28,0.6580,0.0828,0.0841
0.07907,12.65,0.6453,0.0637,0.0347
0.08283,12.07,0.6362,0.0784,0.0305
0.08660,11.55,0.6144,0.0897,0.0482
0.09036,11.07,0.5869,0.0978,0.0656
0.09413,10.62,0.5558,0.0928,0.0722
0.09789,10.22,0.5176,0.0825,0.0597
0.10166,9.84,0.4870,0.0892,0.0633
0.10542,9.49,0.4702,0.0625,0.0372
0.10919,9.16,0.4597,0.0390,0.0112
0.11295,8.85,0.4133,0.0227,0.0114
0.11672,8.57,0.4033,0.0103,0.0189
0.12048,8.30,0.3822,0.0130,0.0380
0.12425,8.05,0.3532,0.0010,0.0414
0.12801,7.81,0.3370,-0.0140,0.0328
0.13178,7.59,0.3057,-0.0213,0.0134
0.13554,7.38,0.2824,-0.0089,-0.0053
0.13931,7.18,0.2844,-0.0061,-0.0136
0.14307,6.99,0.2577,-0.0164,-0.0091
0.14684,6.81,0.2546,-0.0319,-0.0054
0.15060,6.64,0.2429,-0.0544,-0.0158
0.15437,6.48,0.2349,-0.0548,-0.0013
0.15813,6.32,0.2344,-0.0220,0.0035
0.16190,6.18,0.2356,0.0002,0.0106
0.16566,6.04,0.2262,0.0180,0.0155
0.16943,5.90,0.2168,0.0113,0.0163
0.17319,5.77,0.2210,-0.0131,0.0275
0.17696,5.65,0.2079,-0.0331,0.0203
0.18072,5.53,0.2057,-0.0251,0.0260
0.18449,5.42,0.2324,-0.0086,0.0119
0.18825,5.31,0.2468,-0.0064,-0.0145
0.19202,5.21,0.2652,0.0037,-0.0326
