freq_per_A,resolution_A,P6_vs_P7,P6_vs_P8,P7_vs_P8
0.00000,,1.0000,1.0000,1.0000
0.00377,265.60,0.9976,0.9834,0.9893
0.00753,132.80,0.9947,0.9666,0.9717
0.01130,88.53,0.9581,0.7446,0.8404
0.01506,66.40,0.9531,0.6933,0.7891
0.01883,53.12,0.9293,0.7061,0.7981
0.02259,44.27,0.9026,0.6967,0.8075
0.02636,37.94,0.9019,0.6141,0.6468
0.03012,33.20,0.9171,0.6084,0.6149
0.03389,29.51,0.9006,0.5657,0.6161
0.03765,26.56,0.8812,0.4731,0.5199
0.04142,24.15,0.8337,0.3090,0.3478
0.04518,22.13,0.7929,0.2426,0.2876
0.04895,20.43,0.7623,0.2432,0.3073
0.05271,18.97,0.7353,0.1874,0.2839
0.05648,17.71,0.7332,0.1217,0.2086
0.06024,16.60,0.7350,0.0978,0.1432
0.06401,15.62,0.7177,0.0594,0.0726
0.06777,14.76,0.6950,0.0976,0.0746
0.07154,13.98,0.7091,0.1593,0.1201
0.07530,13.28,0.7157,0.1632,0.1176
0.07907,12.65,0.7083,0.1252,0.1345
0.08283,12.07,0.6998,0.0832,0.1245
0.08660,11.55,0.6951,0.0688,0.1355
0.09036,11.07,0.6652,0.0710,0.1565
0.09413,10.62,0.6523,0.0639,0.1355
0.09789,10.22,0.6256,0.0397,0.1218
0.10166,9.84,0.5930,0.0334,0.1265
0.10542,9.49,0.5762,0.0590,0.1582
0.10919,9.16,0.5745,0.0874,0.1781
0.11295,8.85,0.5570,0.0977,0.1507
0.11672,8.57,0.5258,0.0786,0.1223
0.12048,8.30,0.4774,0.0568,0.0867
0.12425,8.05,0.4343,0.0201,0.0329
0.12801,7.81,0.4061,0.0029,0.0003
0.13178,7.59,0.3941,0.0030,0.0038
0.13554,7.38,0.3768,-0.0197,-0.0050
0.13931,7.18,0.3630,-0.0138,0.0007
0.14307,6.99,0.3545,-0.0155,0.0056
0.14684,6.81,0.3631,-0.0200,0.0086
