freq_per_A,resolution_A,P6_hetero_vs_P6_nu09
0.00000,,1.0000
0.00377,265.60,0.9991
0.00753,132.80,0.9989
0.01130,88.53,0.9957
0.01506,66.40,0.9940
0.01883,53.12,0.9922
0.02259,44.27,0.9851
0.02636,37.94,0.9779
0.03012,33.20,0.9791
0.03389,29.51,0.9711
0.03765,26.56,0.9516
0.04142,24.15,0.9156
0.04518,22.13,0.9012
0.04895,20.43,0.8807
0.05271,18.97,0.8491
0.05648,17.71,0.8304
0.06024,16.60,0.8385
0.06401,15.62,0.8435
0.06777,14.76,0.8418
0.07154,13.98,0.8484
0.07530,13.28,0.8507
0.07907,12.65,0.8497
0.08283,12.07,0.8401
0.08660,11.55,0.8332
0.09036,11.07,0.8316
0.09413,10.62,0.8179
0.09789,10.22,0.8087
0.10166,9.84,0.7830
0.10542,9.49,0.7512
0.10919,9.16,0.7324
0.11295,8.85,0.7138
0.11672,8.57,0.6972
0.12048,8.30,0.6617
0.12425,8.05,0.6308
0.12801,7.81,0.5885
0.13178,7.59,0.5528
0.13554,7.38,0.5372
0.13931,7.18,0.5128
0.14307,6.99,0.5062
0.14684,6.81,0.5279
